Longitude	 Latitude
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762993	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809402
4.762992	 45.809403
4.762992	 45.809403
4.762992	 45.809403
4.762992	 45.809403
4.762992	 45.809403
4.762992	 45.809403
4.762992	 45.809403
4.762992	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809403
4.762993	 45.809404
4.762993	 45.809404
4.762993	 45.809405
4.762993	 45.809405
4.762993	 45.809405
4.762993	 45.809405
4.762993	 45.809405
4.762993	 45.809405
4.762993	 45.809411
4.762993	 45.809417
4.762993	 45.809423
4.762993	 45.809428
4.762993	 45.809428
4.762993	 45.809428
4.762993	 45.809428
4.762993	 45.809429
4.762997	 45.809444
4.763000	 45.809459
4.763004	 45.809475
4.763007	 45.809488
4.763007	 45.809488
4.763007	 45.809488
4.763007	 45.809488
4.763007	 45.809490
4.763011	 45.809507
4.763015	 45.809523
4.763019	 45.809540
4.763022	 45.809555
4.763022	 45.809555
4.763022	 45.809555
4.763022	 45.809555
4.763023	 45.809557
4.763031	 45.809580
4.763038	 45.809602
4.763046	 45.809625
4.763053	 45.809645
4.763053	 45.809645
4.763053	 45.809645
4.763053	 45.809645
4.763054	 45.809647
4.763063	 45.809670
4.763071	 45.809694
4.763080	 45.809717
4.763088	 45.809738
4.763088	 45.809738
4.763088	 45.809738
4.763088	 45.809738
4.763089	 45.809740
4.763099	 45.809763
4.763108	 45.809786
4.763118	 45.809809
4.763127	 45.809830
4.763127	 45.809830
4.763127	 45.809830
4.763127	 45.809830
4.763128	 45.809832
4.763137	 45.809852
4.763146	 45.809873
4.763155	 45.809894
4.763163	 45.809913
4.763163	 45.809913
4.763163	 45.809913
4.763163	 45.809913
4.763164	 45.809915
4.763174	 45.809936
4.763184	 45.809956
4.763193	 45.809977
4.763202	 45.809995
4.763202	 45.809995
4.763202	 45.809995
4.763202	 45.809995
4.763203	 45.809997
4.763213	 45.810017
4.763223	 45.810037
4.763233	 45.810057
4.763242	 45.810075
4.763242	 45.810075
4.763242	 45.810075
4.763242	 45.810075
4.763243	 45.810077
4.763257	 45.810095
4.763271	 45.810113
4.763285	 45.810131
4.763298	 45.810148
4.763298	 45.810148
4.763298	 45.810148
4.763298	 45.810148
4.763299	 45.810149
4.763316	 45.810163
4.763333	 45.810178
4.763350	 45.810192
4.763365	 45.810205
4.763365	 45.810205
4.763365	 45.810205
4.763365	 45.810205
4.763366	 45.810206
4.763385	 45.810212
4.763404	 45.810218
4.763423	 45.810224
4.763440	 45.810230
4.763440	 45.810230
4.763440	 45.810230
4.763440	 45.810230
4.763441	 45.810230
4.763461	 45.810231
4.763481	 45.810232
4.763501	 45.810232
4.763518	 45.810233
4.763518	 45.810233
4.763518	 45.810233
4.763518	 45.810233
4.763520	 45.810232
4.763539	 45.810223
4.763558	 45.810214
4.763578	 45.810205
